portfolioRefCode;currencyCode;accountNo;cashAccountName;refCode;iban
nt1;TL;743077;N001;N-502;TR00000000005567231
nt2;TL;743078;N002;N-503;TR00000000005567232
nt3;TL;743079;N003;N-504;TR00000000005567233
nt4;TL;743080;N004;N-505;TR00000000005567234
nt5;TL;743081;N005;N-506;TR00000000005567235
nt6;TL;743082;N006;N-507;TR00000000005567236
nt7;TL;743083;N007;N-508;TR00000000005567237
nt8;TL;743084;N008;N-509;TR00000000005567238
nt9;TL;743085;N009;N-510;TR00000000005567239
nt10;TL;743086;N010;N-511;TR00000000005567240
nt11;TL;743087;N011;N-512;TR00000000005567241
nt12;TL;743088;N012;N-513;TR00000000005567242
nt13;TL;743089;N013;N-514;TR00000000005567243
nt14;TL;743090;N014;N-515;TR00000000005567244
nt15;TL;743091;N015;N-516;TR00000000005567245
nt16;TL;743092;N016;N-517;TR00000000005567246
nt17;TL;743093;N017;N-518;TR00000000005567247
nt18;TL;743094;N018;N-519;TR00000000005567248
nt19;TL;743095;N019;N-520;TR00000000005567249
nt20;TL;743096;N020;N-521;TR00000000005567250
nt21;TL;743097;N021;N-522;TR00000000005567251
nt22;TL;743098;N022;N-523;TR00000000005567252
nt23;TL;743099;N023;N-524;TR00000000005567253
nt24;TL;743100;N024;N-525;TR00000000005567254
nt25;TL;743101;N025;N-526;TR00000000005567255
nt26;TL;743102;N026;N-527;TR00000000005567256
nt27;TL;743103;N027;N-528;TR00000000005567257
nt28;TL;743104;N028;N-529;TR00000000005567258
nt29;TL;743105;N029;N-530;TR00000000005567259
nt30;TL;743106;N030;N-531;TR00000000005567260
nt31;TL;743107;N031;N-532;TR00000000005567261
nt32;TL;743108;N032;N-533;TR00000000005567262
nt33;TL;743109;N033;N-534;TR00000000005567263
nt34;TL;743110;N034;N-535;TR00000000005567264
nt35;TL;743111;N035;N-536;TR00000000005567265
nt36;TL;743112;N036;N-537;TR00000000005567266
nt37;TL;743113;N037;N-538;TR00000000005567267
nt38;TL;743114;N038;N-539;TR00000000005567268
nt39;TL;743115;N039;N-540;TR00000000005567269
nt40;TL;743116;N040;N-541;TR00000000005567270
nt41;TL;743117;N041;N-542;TR00000000005567271
nt42;TL;743118;N042;N-543;TR00000000005567272
nt43;TL;743119;N043;N-544;TR00000000005567273
nt44;TL;743120;N044;N-545;TR00000000005567274
nt45;TL;743121;N045;N-546;TR00000000005567275
nt46;TL;743122;N046;N-547;TR00000000005567276
nt47;TL;743123;N047;N-548;TR00000000005567277
nt48;TL;743124;N048;N-549;TR00000000005567278
nt49;TL;743125;N049;N-550;TR00000000005567279
nt50;TL;743126;N050;N-551;TR00000000005567280
nt51;TL;743127;N051;N-552;TR00000000005567281
nt52;TL;743128;N052;N-553;TR00000000005567282
nt53;TL;743129;N053;N-554;TR00000000005567283
nt54;TL;743130;N054;N-555;TR00000000005567284
nt55;TL;743131;N055;N-556;TR00000000005567285
nt56;TL;743132;N056;N-557;TR00000000005567286
nt57;TL;743133;N057;N-558;TR00000000005567287
nt58;TL;743134;N058;N-559;TR00000000005567288
nt59;TL;743135;N059;N-560;TR00000000005567289
nt60;TL;743136;N060;N-561;TR00000000005567290
nt61;TL;743137;N061;N-562;TR00000000005567291
nt62;TL;743138;N062;N-563;TR00000000005567292
nt63;TL;743139;N063;N-564;TR00000000005567293
nt64;TL;743140;N064;N-565;TR00000000005567294
nt65;TL;743141;N065;N-566;TR00000000005567295
nt66;TL;743142;N066;N-567;TR00000000005567296
nt67;TL;743143;N067;N-568;TR00000000005567297
nt68;TL;743144;N068;N-569;TR00000000005567298
nt69;TL;743145;N069;N-570;TR00000000005567299
nt70;TL;743146;N070;N-571;TR00000000005567300
nt71;TL;743147;N071;N-572;TR00000000005567301
nt72;TL;743148;N072;N-573;TR00000000005567302
nt73;TL;743149;N073;N-574;TR00000000005567303
nt74;TL;743150;N074;N-575;TR00000000005567304
nt75;TL;743151;N075;N-576;TR00000000005567305
nt76;TL;743152;N076;N-577;TR00000000005567306
nt77;TL;743153;N077;N-578;TR00000000005567307
nt78;TL;743154;N078;N-579;TR00000000005567308
nt79;TL;743155;N079;N-580;TR00000000005567309
nt80;TL;743156;N080;N-581;TR00000000005567310
nt81;TL;743157;N081;N-582;TR00000000005567311
nt82;TL;743158;N082;N-583;TR00000000005567312
nt83;TL;743159;N083;N-584;TR00000000005567313
nt84;TL;743160;N084;N-585;TR00000000005567314
nt85;TL;743161;N085;N-586;TR00000000005567315
nt86;TL;743162;N086;N-587;TR00000000005567316
nt87;TL;743163;N087;N-588;TR00000000005567317
nt88;TL;743164;N088;N-589;TR00000000005567318
nt89;TL;743165;N089;N-590;TR00000000005567319
nt90;TL;743166;N090;N-591;TR00000000005567320
nt91;TL;743167;N091;N-592;TR00000000005567321
nt92;TL;743168;N092;N-593;TR00000000005567322
nt93;TL;743169;N093;N-594;TR00000000005567323
nt94;TL;743170;N094;N-595;TR00000000005567324
nt95;TL;743171;N095;N-596;TR00000000005567325
nt96;TL;743172;N096;N-597;TR00000000005567326
nt97;TL;743173;N097;N-598;TR00000000005567327
nt98;TL;743174;N098;N-599;TR00000000005567328
nt99;TL;743175;N099;N-600;TR00000000005567329
nt100;TL;743176;N100;N-601;TR00000000005567330
nt101;TL;743177;N101;N-602;TR00000000005567331
nt102;TL;743178;N102;N-603;TR00000000005567332
nt103;TL;743179;N103;N-604;TR00000000005567333
nt104;TL;743180;N104;N-605;TR00000000005567334
nt105;TL;743181;N105;N-606;TR00000000005567335
nt106;TL;743182;N106;N-607;TR00000000005567336
nt107;TL;743183;N107;N-608;TR00000000005567337
nt108;TL;743184;N108;N-609;TR00000000005567338
nt109;TL;743185;N109;N-610;TR00000000005567339
nt110;TL;743186;N110;N-611;TR00000000005567340
nt111;TL;743187;N111;N-612;TR00000000005567341
nt112;TL;743188;N112;N-613;TR00000000005567342
nt113;TL;743189;N113;N-614;TR00000000005567343
nt114;TL;743190;N114;N-615;TR00000000005567344
nt115;TL;743191;N115;N-616;TR00000000005567345
nt116;TL;743192;N116;N-617;TR00000000005567346
nt117;TL;743193;N117;N-618;TR00000000005567347
nt118;TL;743194;N118;N-619;TR00000000005567348
nt119;TL;743195;N119;N-620;TR00000000005567349
nt120;TL;743196;N120;N-621;TR00000000005567350
nt121;TL;743197;N121;N-622;TR00000000005567351
nt122;TL;743198;N122;N-623;TR00000000005567352
nt123;TL;743199;N123;N-624;TR00000000005567353
nt124;TL;743200;N124;N-625;TR00000000005567354
nt125;TL;743201;N125;N-626;TR00000000005567355
nt126;TL;743202;N126;N-627;TR00000000005567356
nt127;TL;743203;N127;N-628;TR00000000005567357
nt128;TL;743204;N128;N-629;TR00000000005567358
nt129;TL;743205;N129;N-630;TR00000000005567359
nt130;TL;743206;N130;N-631;TR00000000005567360
nt131;TL;743207;N131;N-632;TR00000000005567361
nt132;TL;743208;N132;N-633;TR00000000005567362
nt133;TL;743209;N133;N-634;TR00000000005567363
nt134;TL;743210;N134;N-635;TR00000000005567364
nt135;TL;743211;N135;N-636;TR00000000005567365
nt136;TL;743212;N136;N-637;TR00000000005567366
nt137;TL;743213;N137;N-638;TR00000000005567367
nt138;TL;743214;N138;N-639;TR00000000005567368
nt139;TL;743215;N139;N-640;TR00000000005567369
nt140;TL;743216;N140;N-641;TR00000000005567370
nt141;TL;743217;N141;N-642;TR00000000005567371
nt142;TL;743218;N142;N-643;TR00000000005567372
nt143;TL;743219;N143;N-644;TR00000000005567373
nt144;TL;743220;N144;N-645;TR00000000005567374
nt145;TL;743221;N145;N-646;TR00000000005567375
nt146;TL;743222;N146;N-647;TR00000000005567376
nt147;TL;743223;N147;N-648;TR00000000005567377
nt148;TL;743224;N148;N-649;TR00000000005567378
nt149;TL;743225;N149;N-650;TR00000000005567379
nt150;TL;743226;N150;N-651;TR00000000005567380
nt151;TL;743227;N151;N-652;TR00000000005567381
nt152;TL;743228;N152;N-653;TR00000000005567382
nt153;TL;743229;N153;N-654;TR00000000005567383
nt154;TL;743230;N154;N-655;TR00000000005567384
nt155;TL;743231;N155;N-656;TR00000000005567385
nt156;TL;743232;N156;N-657;TR00000000005567386
nt157;TL;743233;N157;N-658;TR00000000005567387
nt158;TL;743234;N158;N-659;TR00000000005567388
nt159;TL;743235;N159;N-660;TR00000000005567389
nt160;TL;743236;N160;N-661;TR00000000005567390
nt161;TL;743237;N161;N-662;TR00000000005567391
nt162;TL;743238;N162;N-663;TR00000000005567392
nt163;TL;743239;N163;N-664;TR00000000005567393
nt164;TL;743240;N164;N-665;TR00000000005567394
nt165;TL;743241;N165;N-666;TR00000000005567395
nt166;TL;743242;N166;N-667;TR00000000005567396
nt167;TL;743243;N167;N-668;TR00000000005567397
